Epoch 163 | Train Loss: 0.0279 | Val Loss: 0.0249 | Val Dice: 0.9503 | Val IoU: 0.9058 | Learning Rate: 6.25e-05
Epoch 164 | Train Loss: 0.0268 | Val Loss: 0.0261 | Val Dice: 0.9540 | Val IoU: 0.9125 | Learning Rate: 6.25e-05
Epoch 165 | Train Loss: 0.0250 | Val Loss: 0.0255 | Val Dice: 0.9514 | Val IoU: 0.9079 | Learning Rate: 6.25e-05
Epoch 166 | Train Loss: 0.0237 | Val Loss: 0.0257 | Val Dice: 0.9545 | Val IoU: 0.9133 | Learning Rate: 6.25e-05
Epoch 167 | Train Loss: 0.0247 | Val Loss: 0.0254 | Val Dice: 0.9508 | Val IoU: 0.9068 | Learning Rate: 6.25e-05
Epoch 168 | Train Loss: 0.0257 | Val Loss: 0.0260 | Val Dice: 0.9538 | Val IoU: 0.9122 | Learning Rate: 6.25e-05
Epoch 169 | Train Loss: 0.0248 | Val Loss: 0.0247 | Val Dice: 0.9528 | Val IoU: 0.9104 | Learning Rate: 6.25e-05
Epoch 170 | Train Loss: 0.0238 | Val Loss: 0.0250 | Val Dice: 0.9524 | Val IoU: 0.9096 | Learning Rate: 6.25e-05
Epoch 171 | Train Loss: 0.0264 | Val Loss: 0.0250 | Val Dice: 0.9535 | Val IoU: 0.9116 | Learning Rate: 6.25e-05
Epoch 172 | Train Loss: 0.0243 | Val Loss: 0.0251 | Val Dice: 0.9537 | Val IoU: 0.9119 | Learning Rate: 6.25e-05
Epoch 173 | Train Loss: 0.0245 | Val Loss: 0.0258 | Val Dice: 0.9520 | Val IoU: 0.9088 | Learning Rate: 6.25e-05
Epoch 174 | Train Loss: 0.0234 | Val Loss: 0.0254 | Val Dice: 0.9541 | Val IoU: 0.9127 | Learning Rate: 6.25e-05
Epoch 175 | Train Loss: 0.0241 | Val Loss: 0.0247 | Val Dice: 0.9532 | Val IoU: 0.9110 | Learning Rate: 6.25e-05
Epoch 176 | Train Loss: 0.0244 | Val Loss: 0.0247 | Val Dice: 0.9529 | Val IoU: 0.9104 | Learning Rate: 6.25e-05
Epoch 177 | Train Loss: 0.0241 | Val Loss: 0.0247 | Val Dice: 0.9536 | Val IoU: 0.9117 | Learning Rate: 3.125e-05
Epoch 178 | Train Loss: 0.0229 | Val Loss: 0.0249 | Val Dice: 0.9537 | Val IoU: 0.9120 | Learning Rate: 3.125e-05
Epoch 179 | Train Loss: 0.0264 | Val Loss: 0.0251 | Val Dice: 0.9538 | Val IoU: 0.9121 | Learning Rate: 3.125e-05
